Model,Implementation,Time [sec],Train CE,Val CE,Train Accuracy,Val Accuracy,Train F1 Macro,Val F1 Macro
M0,Base model,568.5080823898315,3.986833269683395,3.9862449319310596,0.04257173966368255,0.04385141256898114,0.015588088014692837,0.015870026823510113
A1,Mini-batch SGD,481.0659215450287,0.5818760238940458,0.5918300601576861,0.8209424582691423,0.8200065892430607,0.7523032437518603,0.7512867159473953
A2,Adam,562.3175330162048,1.375169690348349,1.373504980049331,0.6407237407507408,0.6402767482085495,0.4336712832216339,0.43427316352725187
A3,L2 + early stopping,552.9120194911957,3.926004466177098,3.9267513831874443,0.024372338604506702,0.024833209785025945,0.012307452976032201,0.012538992059110321
A4,Exponential LR Scheduler,557.1793072223663,3.961033744717042,3.961471350802129,0.014731756040143505,0.014018614611646487,0.008002325791933081,0.007873558909333842
A5,Batch Normalization,937.253998041153,4.214209448798389,4.21301197171348,0.04606409055053497,0.04545754056502759,0.02239501844131997,0.021850695156859792
A6,Label Smoothing,542.5618658065796,3.8758162373973635,3.8760395626572617,0.022925280632187864,0.022905856189770202,0.010152357256000694,0.010407201535610013
A7,Gradient Clipping,533.8503811359406,3.9187482293086635,3.9192297776779585,0.029726453102086412,0.0299316366032452,0.009665282058230251,0.009468735418896543
